차시,번호,단어,뜻
14,21,contemplate ,"<동> 심사숙고하다, (곰곰이) 생각하다"
14,22,crack ,"<명> 금, 틈  <동> 갈라지게 하다"
14,23,formal ,"<형> 공식적인, 격식 차린, 정식의"
14,24,plague ,"<명> 전염병, 재해  <동> 괴롭히다"
14,25,committee ,"<명> 위원회, 전(全)위원"
14,26,broadcast ,"<동> 방송[방영]하다  <명> 방송, 방영"
14,27,disaster ,"<명> 재해, 재난, (큰) 실패"
14,28,combat ,"<동> 싸우다, 분투하다  <명> 전투, 싸움"
14,29,pollute ,"<동> 오염시키다, 더럽히다"
14,30,retreat ,"<동> 물러나다  <명> 후퇴, 철수"
14,31,envelope ,"<명> 봉투, 싸는 것"
14,32,ripe ,"<형> 익은, 숙성한"
14,33,transcribe ,"<동> 기록하다, 필사하다, 베끼다"
14,34,union ,"<명> 결합, 연합, (노동)조합"
14,35,escort ,<동> 호위[호송]하다  <명> 호위(대)
14,36,initial ,"<형> 처음의, 초기의  <명> 첫 글자"
14,37,surround ,"<동> 둘러싸다, 에워싸다"
14,38,repair ,"<동> 수리[수선]하다 수리, 수선"
14,39,palm ,"<명> 야자수, 종려나무, 손바닥"
14,40,concretely ,"<부> 구체적으로, 명확하게"
14,41,conceive ,"<동> 생각해 내다, 상상하다, 임신하다"
14,42,efficient ,"<형> 효율적인, 능률적인, 유능한"
14,43,regime ,"<명> 정권, 체제, 제도, 통치"
14,44,routine ,<명> 판에 박힌 일상  <형> 일상적인
14,45,income ,"<명> 수입, 소득, 유입"
14,46,minute ,"<명> 분, 순간  <형> 아주 작은, 미세한"
14,47,fiction ,"<명> 소설, 허구, 가공의 이야기"
14,48,variation ,"<명> 변화, 변동, 차이"
14,49,entity ,"<명> 실체, 존재, 실재, 독립체"
14,50,guilty ,"<형>, 죄책감이 드는, 유죄의"
15,1,absence ,"<명> 없음, 결여, 부재, 결석"
15,2,period ,"<명> 기간, 시기, 시대, 마침표"
15,3,struggle ,"<동> 분투하다, 애쓰다  <명> 분투"
15,4,overcome ,"<동> 극복하다, 이기다, 압도하다"
15,5,cause ,"<명> 원인, 이유  <동> 야기[초래]하다"
15,6,significant ,"<형> 중요한, 의미 있는, 상당한"
15,7,drive ,"<동> 몰다,  ~하게 만들다  <명> 운전, 동인"
15,8,regard ,"<동> 여기다, 고려하다  <명> 관계, 고려"
15,9,complain ,"<동> 불평하다, 항의하다"
15,10,interpretation ,"<명> 해석, 이해, 설명"
15,11,interact ,"<동> 상호 작용하다, 교류하다"
15,12,investment ,"<명> 투자(금), (시간, 노력 등의) 투입"
15,13,cancer ,"<명> 암(적인 존재), 종양"
15,14,retrospect ,"<명> 회고, 회상  <동> 회고하다"
15,15,executive ,"<명> 임원, 경영진  <형> 실행[경영]의"
15,16,scroll ,"<명> 두루마리, 목록, 일람표"
15,17,journey ,"<명> 여행, 여정, 이동  <동> 여행하다"
15,18,trout ,<명> 송어
15,19,election ,"<명> 선거, 당선, 투표"
15,20,shoot ,"<동> 쏘다, 사진을 찍다, 촬영하다"
15,21,gentle ,"<형> 온화한, 부드러운, 상냥한"
15,22,idle ,"<형> 게으른, 한가한  <동> 빈둥거리다"
15,23,mere ,"<형> 단순한, 순전한,  ~에 불과한"
15,24,inspection ,"<명> 검사, 조사, 사찰"
15,25,lack ,"<명> 부족, 결핍  <동>  ~이 없다[부족하다]"
15,26,furniture ,"<명> 가구, 비품"
15,27,strike ,"<동> 치다, 공격하다  <명> 공격, 파업"
15,28,joint ,"<형> 공동의, 합동의  <명> 이음매, 관절"
15,29,identical ,"<형> 동일한, 똑같은"
15,30,vehicle ,"<명> 차량, 탈것, 수단, 매개체"
15,31,erosion ,"<명> 부식, 침식"
15,32,infrastructure ,"<명> (사회) 기반 시설, 하부 구조, 토대"
15,33,norm ,"<명> 규범, 기준, 표준"
15,34,ease ,"<명> 쉬움, 편안함  <동> 덜다, 진정시키다"
15,35,undergo ,"<동> 겪다, 경험하다, 받다"
15,36,rage ,"<명> 격노, 분노  <동> 격노하다, 야단치다"
15,37,clue ,"<명> 단서, 실마리"
15,38,retire ,"<동> 은퇴하다, 퇴직하다, 물러나다"
15,39,overshadow ,"<동> 그림자를 드리우다, 무색하게 하다"
15,40,refund ,<명> 환불(금)  <동> 환불하다
15,41,guarantee ,"<명> 보장, 보증(서)  <동> 보장[보증]하다"
15,42,disappointed ,"<형> 실망한, 낙담한"
15,43,prove ,"<동> ( ~임이) 드러나다, 증명하다"
15,44,tame ,"<형> 길들여진  <동> 길들이다, 다스리다"
15,45,detach ,"<동> 떼어 내다, 분리시키다"
15,46,decorate ,"<동> 장식하다, 꾸미다"
15,47,gossip ,"<명> 소문, 뒷공론  <동> 뒷공론하다"
15,48,thick ,"<형> 두꺼운, 빽빽한, 짙은, 진한"
15,49,trap ,"<명> 덫, 함정  <동> (함정에) 빠뜨리다"
15,50,prosperity ,"<명> 번영, 번성, 번창, 성공"
